"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2023-09-18 00:00:00,2023-09-18,0,6935,0,2000,0,8935,4.4675,4.4675
2023-09-19 00:00:00,2023-09-19,0,4000,0,2000,0,6000,3,3
2023-09-20 00:00:00,2023-09-20,0,4000,1000,1000,1000,5000,3,3
2023-09-21 00:00:00,2023-09-21,2000,4000,1000,2000,3000,6000,3,3
2023-09-22 00:00:00,2023-09-22,4032.5,6000,1032.8,2000,5065.3,8000,4.307999209,4.307999209
2023-09-23 00:00:00,2023-09-23,7967.5,7000,3967.2,3000,11934.7,10000,3.148280514,3.148280514
2023-09-24 00:00:00,2023-09-24,2000,8000,1000,2000,3000,10000,4.333333333,4.333333333
2023-09-25 00:00:00,2023-09-25,0,1032.5,0,1000,0,2032.5,2.0325,2.0325
2023-09-26 00:00:00,2023-09-26,0,6967.5,0,2000,0,8967.5,4.48375,4.48375
2023-09-27 00:00:00,2023-09-27,0,5000,1000,2000,1000,7000,2.666666667,2.666666667
2023-09-28 00:00:00,2023-09-28,1000,8000,0,2000,1000,10000,5.5,5.5
2023-09-29 00:00:00,2023-09-29,1000,4000,1000,2000,2000,6000,2.666666667,2.666666667
2023-09-30 00:00:00,2023-09-30,2000,7000,1000,3000,3000,10000,3.25,3.25
2023-10-01 00:00:00,2023-10-01,0,5000,0,1000,0,6000,6,6
2023-10-02 00:00:00,2023-10-02,0,5000,0,2000,0,7000,3.5,3.5
2023-10-03 00:00:00,2023-10-03,0,4000,1000,1000,1000,5000,3,3
